,models,ta_avg,ta_max,tl_avg,tl_min,va_avg,va_max,vl_avg,vl_min
0,"('Xception', 'DenseNet169', 'InceptionResNetV2')",0.9576894164085388,0.9655172228813171,0.13084165006875992,0.09625851362943649,0.9043236255645752,0.9085127115249634,0.33540218472480776,0.3148992359638214
1,"('Xception', 'DenseNet169', 'MobileNet')",0.9723880171775818,0.9799461960792542,0.09279714673757553,0.06517144292593002,0.8799646139144898,0.8855186104774475,0.40049437880516053,0.38421982526779175
2,"('Xception', 'DenseNet169', 'InceptionV3')",0.9670807957649231,0.9849596619606018,0.10288848802447319,0.04205423966050148,0.8964979767799377,0.9002444744110107,0.3674452006816864,0.3462126553058624
3,"('Xception', 'InceptionResNetV2', 'MobileNet')",0.9602083802223206,0.9705271124839783,0.1211407333612442,0.08582881093025208,0.9012909054756164,0.9051344990730286,0.3311490178108215,0.29512113332748413
4,"('Xception', 'InceptionResNetV2', 'InceptionV3')",0.9556350946426392,0.9728506803512573,0.1332683965563774,0.07549130916595459,0.909214448928833,0.9163814187049866,0.31605838537216185,0.2694724500179291
5,"('Xception', 'MobileNet', 'InceptionV3')",0.967985725402832,0.982022762298584,0.09785367250442505,0.05812844634056091,0.8952255725860596,0.9011741876602173,0.36051619052886963,0.3419446647167206
6,"('DenseNet169', 'InceptionResNetV2', 'MobileNet')",0.9515020847320557,0.9694264531135559,0.14231197983026506,0.0806608721613884,0.8900405764579773,0.8973104953765869,0.3910816848278046,0.3620363473892212
7,"('DenseNet169', 'InceptionResNetV2', 'InceptionV3')",0.9528714418411255,0.9646613001823425,0.13638143241405487,0.09622834622859955,0.9051057815551757,0.9105134606361389,0.3351262092590332,0.3102870285511017
8,"('DenseNet169', 'MobileNet', 'InceptionV3')",0.9698688149452209,0.9784788489341736,0.09000539481639862,0.06187119334936142,0.8764427781105042,0.8835616707801819,0.44661636352539064,0.4079143702983856
9,"('InceptionResNetV2', 'MobileNet', 'InceptionV3')",0.9572490453720093,0.9745659232139587,0.12721140533685685,0.07410519570112228,0.9029531359672547,0.9119804501533508,0.34421460032463075,0.31433409452438354
